filename,station,res_tier,part,bytes,sha256
quarter_res_trees_Scan_078_5.lsp,078,quarter,5,56495010,6c9cbc0229f0d1b686239da3f84a4a47cf59f4c6a97a1f2a647048bc36bf9c30
quarter_res_trees_Scan_079_0.lsp,079,quarter,0,31941157,2447f6e94e7cdd0556a00874d0d54b952bf277fd19b6ac22590f2d708199c530
quarter_res_trees_Scan_079_1.lsp,079,quarter,1,34662576,e1ec055b8c6623f83c612d5dec898ffcf66f63b999bcde61f486ac45b091b1d5
quarter_res_trees_Scan_079_2.lsp,079,quarter,2,38829298,a23df30bc2c68dee72892996a1c8b1f6ee209f099cb55989d59dda8713aadf61
quarter_res_trees_Scan_079_3.lsp,079,quarter,3,31465800,b4097ada342e2ccb71af02d7954b4198810ec778bdfb03d3b71d74f6fa13990b
quarter_res_trees_Scan_079_4.lsp,079,quarter,4,2971653,15699c530355530e37ecd11cfbd3e83f1db4d0216424b314eaa9b6363044355a
quarter_res_trees_Scan_079_5.lsp,079,quarter,5,50064371,7fffa204280280f6d3c3290f506fa622a6eb1eae9967d958412b5762bbb97b57
quarter_res_trees_Scan_080_0.lsp,080,quarter,0,30107469,3163db6e69e6b774d16313ff7ab195f9ca6cbde081a5e8fd848fa19ac0d0c6bf
quarter_res_trees_Scan_080_1.lsp,080,quarter,1,35864519,3656271a31190cb244467df64bd1bb79d8f0d2ec3d0257a630606e8e173b845c
quarter_res_trees_Scan_080_2.lsp,080,quarter,2,37625136,e9c1e1655d3a3c563edd19c702a68badf33194316d360c273fb524accbf42fa3
quarter_res_trees_Scan_080_3.lsp,080,quarter,3,34343520,2ec55b0723fae8cdca8f8c404eae83c5cb15209ea70948168c387516e0ddf67e
quarter_res_trees_Scan_080_4.lsp,080,quarter,4,10000136,61cfaf8c158110de480f6373d7429d1ffa20fd9aaf2f73c29c0b3f4a6aee8229
quarter_res_trees_Scan_080_5.lsp,080,quarter,5,52649146,743bc53459e2f6514072780415c620765dd35c597cff5d60bf70b2b61266743c
quarter_res_trees_Scan_081_0.lsp,081,quarter,0,34821264,3314e3ecae61a324bc1082c9d177f2888492521285bc10bac0198cd61ab9ae2a
quarter_res_trees_Scan_081_1.lsp,081,quarter,1,43147768,3208d3816d44e08b56aa09008b4f77b9029557f1cea37805c149531fc629c64f
quarter_res_trees_Scan_081_2.lsp,081,quarter,2,37421984,07b0300e9960c3b037d54140badff48b6b8c9182a46d371cd8988e48003b0301
quarter_res_trees_Scan_081_3.lsp,081,quarter,3,38602653,449583ec5ab89c56d817ba83946c53b25a55d90e718f42275d5b31a05e71f7c3
quarter_res_trees_Scan_081_4.lsp,081,quarter,4,31662495,a71e0c02f1a30ddd859abf64dbe2e565c3ee1bd92cf0b43e80071bad1b24902a
